Retailer,Retailer ID,Date,Month,Region,State,Beverage Brand,Price per Unit,Units Sold,Total Revenue
Aldi,1185732,2022-07-10,July,Northeast,Bavaria,Vita Cola,0.55,12750,7012.500000000001
Penny,1185732,2022-07-10,July,Northeast,Hamburg,Mezzo Mix,0.51,10250,5227.5
Rewe,1185732,2022-07-10,July,Northeast,Mecklenburg-Vorpommern,Club-Mate,0.46,9500,4370.0
Lidl,1185732,2022-07-10,July,Northeast,North Rhine-Westphalia,Mezzo Mix,0.46,9000,4140.0
Metro,1185732,2022-07-10,July,Northeast,Brandenburg,Fritz-Kola,0.55,9250,5087.5
Aldi,1185732,2022-07-10,July,Northeast,North Rhine-Westphalia,Vita Cola,0.6,11000,6600.0
Edeka,1185732,2022-08-11,August,Northeast,North Rhine-Westphalia,Vita Cola,0.55,12500,6875.000000000001
Edeka,1185732,2022-08-11,August,Northeast,Thuringia,Fritz-Kola,0.51,10250,5227.5
Metro,1185732,2022-08-11,August,Northeast,Saxony-Anhalt,Mezzo Mix,0.46,9500,4370.0
Kaufland,1185732,2022-08-11,August,Northeast,Bavaria,Mezzo Mix,0.46,9250,4255.0
Lidl,1185732,2022-08-11,August,Northeast,Bavaria,Bionade,0.55,9000,4950.0
Aldi,1185732,2022-08-11,August,Northeast,Hesse,Fritz-Kola,0.6,10750,6450.0
Netto,1185732,2022-09-10,September,Northeast,North Rhine-Westphalia,Bionade,0.55,12000,6600.000000000001
Lidl,1185732,2022-09-10,September,Northeast,Thuringia,Mezzo Mix,0.51,10000,5100.0
Kaufland,1185732,2022-09-10,September,Northeast,Mecklenburg-Vorpommern,Bionade,0.46,9250,4255.0
Lidl,1185732,2022-09-10,September,Northeast,Brandenburg,Vita Cola,0.46,9000,4140.0
Aldi,1185732,2022-09-10,September,Northeast,Saxony,Bionade,0.55,9000,4950.0
Edeka,1185732,2022-09-10,September,Northeast,Hamburg,Bionade,0.6,10000,6000.0
Metro,1185732,2022-10-12,October,Northeast,Baden-Württemberg,Club-Mate,0.6,11750,7050.0
Lidl,1185732,2022-10-12,October,Northeast,Hesse,Fritz-Kola,0.51,10000,5100.0
Aldi,1185732,2022-10-12,October,Northeast,Mecklenburg-Vorpommern,Mezzo Mix,0.51,9000,4590.0
Metro,1185732,2022-10-12,October,Northeast,Saxony,Vita Cola,0.51,8750,4462.5
Penny,1185732,2022-10-12,October,Northeast,Baden-Württemberg,Bionade,0.6,8750,5250.0
Edeka,1185732,2022-10-12,October,Northeast,Brandenburg,Gerolsteiner,0.64,10000,6400.0
Lidl,1185732,2022-11-11,November,Northeast,Saxony-Anhalt,Club-Mate,0.6,11500,6900.0
Kaufland,1185732,2022-11-11,November,Northeast,Saxony-Anhalt,Fritz-Kola,0.51,9750,4972.5
Penny,1185732,2022-11-11,November,Northeast,Hamburg,Fritz-Kola,0.51,9200,4692.0
Kaufland,1185732,2022-11-11,November,Northeast,Schleswig-Holstein,Gerolsteiner,0.51,9000,4590.0
Metro,1185732,2022-11-11,November,Northeast,Mecklenburg-Vorpommern,Vita Cola,0.6,8750,5250.0
Rewe,1185732,2022-11-11,November,Northeast,North Rhine-Westphalia,Club-Mate,0.64,9750,6240.0
Rewe,1185732,2022-12-10,December,Northeast,Hamburg,Fritz-Kola,0.6,12000,7200.0
Lidl,1185732,2022-12-10,December,Northeast,Thuringia,Mezzo Mix,0.51,10000,5100.0
Penny,1185732,2022-12-10,December,Northeast,Saxony,Fritz-Kola,0.51,9500,4845.0
Metro,1185732,2022-12-10,December,Northeast,Hesse,Fritz-Kola,0.51,9000,4590.0
Rewe,1185732,2022-12-10,December,Northeast,Schleswig-Holstein,Vita Cola,0.6,9000,5400.0
Kaufland,1185732,2022-12-10,December,Northeast,Brandenburg,Mezzo Mix,0.64,10000,6400.0
Kaufland,1197831,2022-01-02,January,South,Berlin,Club-Mate,0.23,9000,2070.0
Netto,1197831,2022-01-02,January,South,Berlin,Bionade,0.32,9000,2880.0
Kaufland,1197831,2022-01-02,January,South,Hesse,Bionade,0.32,7000,2240.0
Rewe,1197831,2022-01-02,January,South,Hesse,Gerolsteiner,0.32,7000,2240.0
Aldi,1197831,2022-01-02,January,South,Baden-Württemberg,Gerolsteiner,0.37,5500,2035.0
Penny,1197831,2022-01-02,January,South,Thuringia,Club-Mate,0.32,7000,2240.0
Rewe,1197831,2022-02-01,February,South,Baden-Württemberg,Vita Cola,0.23,8500,1955.0
Lidl,1197831,2022-02-01,February,South,Brandenburg,Club-Mate,0.32,8500,2720.0
Edeka,1197831,2022-02-01,February,South,Mecklenburg-Vorpommern,Vita Cola,0.32,6750,2160.0
Edeka,1197831,2022-02-01,February,South,Schleswig-Holstein,Bionade,0.32,6250,2000.0
Aldi,1197831,2022-02-01,February,South,Berlin,Fritz-Kola,0.37,5000,1850.0
Kaufland,1197831,2022-02-01,February,South,Baden-Württemberg,Gerolsteiner,0.32,7000,2240.0
Lidl,1197831,2022-03-03,March,South,Saxony,Club-Mate,0.28,8750,2450.0000000000005
Rewe,1197831,2022-03-03,March,South,Mecklenburg-Vorpommern,Vita Cola,0.37,8750,3237.5
Aldi,1197831,2022-03-03,March,South,North Rhine-Westphalia,Fritz-Kola,0.32,7000,2240.0
Lidl,1197831,2022-03-03,March,South,Bavaria,Gerolsteiner,0.37,6000,2220.0
Aldi,1197831,2022-03-03,March,South,Hamburg,Fritz-Kola,0.41,5000,2050.0
Kaufland,1197831,2022-03-03,March,South,Schleswig-Holstein,Fritz-Kola,0.37,6500,2405.0
Netto,1197831,2022-04-02,April,South,Baden-Württemberg,Gerolsteiner,0.28,9000,2520.0000000000005
Aldi,1197831,2022-04-02,April,South,Mecklenburg-Vorpommern,Fritz-Kola,0.37,9000,3330.0
Metro,1197831,2022-04-02,April,South,North Rhine-Westphalia,Gerolsteiner,0.32,7250,2320.0
Penny,1197831,2022-04-02,April,South,Saxony,Gerolsteiner,0.37,6250,2312.5
Metro,1197831,2022-04-02,April,South,Schleswig-Holstein,Gerolsteiner,0.41,5250,2152.5
Penny,1197831,2022-04-02,April,South,Saxony,Vita Cola,0.37,8000,2960.0
Kaufland,1197831,2022-05-02,May,South,Mecklenburg-Vorpommern,Club-Mate,0.28,9250,2590.0000000000005
Rewe,1197831,2022-05-02,May,South,North Rhine-Westphalia,Vita Cola,0.37,9250,3422.5
Penny,1197831,2022-05-02,May,South,Saxony-Anhalt,Vita Cola,0.32,7750,2480.0
Rewe,1197831,2022-05-02,May,South,Saxony-Anhalt,Gerolsteiner,0.37,7000,2590.0
Metro,1197831,2022-05-02,May,South,Saxony,Bionade,0.41,6000,2460.0
Aldi,1197831,2022-05-02,May,South,Thuringia,Gerolsteiner,0.37,9500,3515.0
Lidl,1197831,2022-06-01,June,South,Berlin,Vita Cola,0.37,9500,3515.0
Edeka,1197831,2022-06-01,June,South,Mecklenburg-Vorpommern,Club-Mate,0.41,9500,3894.9999999999995
Kaufland,1197831,2022-06-01,June,South,Hesse,Mezzo Mix,0.37,8000,2960.0
Penny,1197831,2022-06-01,June,South,Berlin,Vita Cola,0.37,7500,2775.0
Metro,1197831,2022-06-01,June,South,Mecklenburg-Vorpommern,Bionade,0.41,6500,2665.0
Netto,1197831,2022-06-01,June,South,Baden-Württemberg,Gerolsteiner,0.46,10000,4600.0
Penny,1197831,2022-07-03,July,South,Mecklenburg-Vorpommern,Club-Mate,0.37,9500,3515.0
Aldi,1197831,2022-07-03,July,South,Mecklenburg-Vorpommern,Club-Mate,0.41,9500,3894.9999999999995
Penny,1197831,2022-07-03,July,South,Berlin,Mezzo Mix,0.37,11000,4070.0
Metro,1197831,2022-07-03,July,South,Schleswig-Holstein,Bionade,0.37,7000,2590.0
Metro,1197831,2022-07-03,July,South,North Rhine-Westphalia,Gerolsteiner,0.41,7000,2870.0
Netto,1197831,2022-07-03,July,South,Saxony,Mezzo Mix,0.46,9750,4485.0
Rewe,1197831,2022-08-05,August,South,Saxony,Vita Cola,0.37,9250,3422.5
Metro,1197831,2022-08-05,August,South,Hamburg,Mezzo Mix,0.41,9250,3792.5
Rewe,1197831,2022-08-05,August,South,North Rhine-Westphalia,Bionade,0.37,11000,4070.0
Penny,1197831,2022-08-05,August,South,Mecklenburg-Vorpommern,Bionade,0.37,6500,2405.0
Penny,1197831,2022-08-05,August,South,Schleswig-Holstein,Gerolsteiner,0.41,6500,2665.0
Lidl,1197831,2022-08-05,August,South,Mecklenburg-Vorpommern,Gerolsteiner,0.46,9000,4140.0
Lidl,1197831,2022-09-02,September,South,Mecklenburg-Vorpommern,Fritz-Kola,0.41,8500,3485.0
Lidl,1197831,2022-09-02,September,South,Saxony-Anhalt,Vita Cola,0.41,8500,3485.0
Netto,1197831,2022-09-02,September,South,Bavaria,Bionade,0.46,9000,4140.0
Lidl,1197831,2022-09-02,September,South,Schleswig-Holstein,Gerolsteiner,0.46,6250,2875.0
Aldi,1197831,2022-09-02,September,South,Saxony,Vita Cola,0.41,6250,2562.5
Aldi,1197831,2022-09-02,September,South,Mecklenburg-Vorpommern,Gerolsteiner,0.51,8500,4335.0
Kaufland,1197831,2022-10-01,October,South,Saxony-Anhalt,Club-Mate,0.41,8000,3280.0
Edeka,1197831,2022-10-01,October,South,Hesse,Club-Mate,0.41,8000,3280.0
Netto,1197831,2022-10-01,October,South,Hesse,Vita Cola,0.46,7500,3450.0
Edeka,1197831,2022-10-01,October,South,Baden-Württemberg,Bionade,0.46,6000,2760.0
Netto,1197831,2022-10-01,October,South,North Rhine-Westphalia,Gerolsteiner,0.41,5750,2357.5
Aldi,1197831,2022-10-01,October,South,Berlin,Club-Mate,0.51,7500,3825.0
Penny,1197831,2022-11-02,November,South,Schleswig-Holstein,Fritz-Kola,0.41,9000,3690.0
Kaufland,1197831,2022-11-02,November,South,Hamburg,Vita Cola,0.41,9000,3690.0
Aldi,1197831,2022-11-02,November,South,Schleswig-Holstein,Gerolsteiner,0.46,8250,3795.0
Penny,1197831,2022-11-02,November,South,Thuringia,Gerolsteiner,0.46,6750,3105.0
Aldi,1197831,2022-11-02,November,South,Mecklenburg-Vorpommern,Club-Mate,0.41,6500,2665.0
Lidl,1197831,2022-11-02,November,South,Saxony,Fritz-Kola,0.51,8500,4335.0
Edeka,1197831,2022-12-01,December,South,Hesse,Club-Mate,0.41,9500,3894.9999999999995
Aldi,1197831,2022-12-01,December,South,Thuringia,Vita Cola,0.41,9500,3894.9999999999995
Lidl,1197831,2022-12-01,December,South,Schleswig-Holstein,Vita Cola,0.46,8500,3910.0
Netto,1197831,2022-12-01,December,South,Baden-Württemberg,Bionade,0.46,7000,3220.0
Edeka,1197831,2022-12-01,December,South,Schleswig-Holstein,Bionade,0.41,6500,2665.0
Aldi,1197831,2022-12-01,December,South,Hamburg,Gerolsteiner,0.51,9000,4590.0
Netto,1128299,2022-01-20,January,West,Schleswig-Holstein,Fritz-Kola,0.37,7750,2867.5
Penny,1128299,2022-01-20,January,West,Hesse,Gerolsteiner,0.46,7750,3565.0
Metro,1128299,2022-01-20,January,West,Berlin,Fritz-Kola,0.46,7750,3565.0
Aldi,1128299,2022-01-20,January,West,Berlin,Bionade,0.46,6250,2875.0
Edeka,1128299,2022-01-20,January,West,Hesse,Club-Mate,0.51,5750,2932.5
Aldi,1128299,2022-01-20,January,West,Brandenburg,Mezzo Mix,0.46,7750,3565.0
Edeka,1128299,2022-02-20,February,West,Brandenburg,Vita Cola,0.37,8250,3052.5
Netto,1128299,2022-02-20,February,West,North Rhine-Westphalia,Club-Mate,0.46,7250,3335.0
Kaufland,1128299,2022-02-20,February,West,Bavaria,Vita Cola,0.46,7250,3335.0
Penny,1128299,2022-02-20,February,West,Schleswig-Holstein,Fritz-Kola,0.46,5750,2645.0
Kaufland,1128299,2022-02-20,February,West,Schleswig-Holstein,Club-Mate,0.51,5000,2550.0
Netto,1128299,2022-02-20,February,West,Mecklenburg-Vorpommern,Bionade,0.46,7000,3220.0
Lidl,1128299,2022-03-19,March,West,Brandenburg,Vita Cola,0.46,8500,3910.0
Lidl,1128299,2022-03-19,March,West,Hamburg,Club-Mate,0.55,7000,3850.0000000000005
Rewe,1128299,2022-03-19,March,West,Saxony-Anhalt,Bionade,0.55,7000,3850.0000000000005
Edeka,1128299,2022-03-19,March,West,Mecklenburg-Vorpommern,Fritz-Kola,0.55,6000,3300.0000000000005
Kaufland,1128299,2022-03-19,March,West,Thuringia,Vita Cola,0.6,5000,3000.0
Rewe,1128299,2022-03-19,March,West,Mecklenburg-Vorpommern,Fritz-Kola,0.55,7000,3850.0000000000005
Kaufland,1128299,2022-04-20,April,West,Baden-Württemberg,Vita Cola,0.55,8750,4812.5
Kaufland,1128299,2022-04-20,April,West,Mecklenburg-Vorpommern,Fritz-Kola,0.6,6750,4050.0
Metro,1128299,2022-04-20,April,West,Hamburg,Fritz-Kola,0.6,7250,4350.0
Netto,1128299,2022-04-20,April,West,Schleswig-Holstein,Bionade,0.55,6250,3437.5000000000005
Metro,1128299,2022-04-20,April,West,Schleswig-Holstein,Bionade,0.6,5250,3150.0
Netto,1128299,2022-04-20,April,West,Bavaria,Gerolsteiner,0.74,7000,5180.0
Edeka,1128299,2022-05-21,May,West,Baden-Württemberg,Bionade,0.55,9000,4950.0
Kaufland,1128299,2022-05-21,May,West,Baden-Württemberg,Fritz-Kola,0.6,7500,4500.0
Aldi,1128299,2022-05-21,May,West,Hesse,Club-Mate,0.6,7500,4500.0
Aldi,1128299,2022-05-21,May,West,Saxony,Mezzo Mix,0.55,6500,3575.0000000000005
Metro,1128299,2022-05-21,May,West,Schleswig-Holstein,Bionade,0.6,5500,3300.0
Rewe,1128299,2022-05-21,May,West,Mecklenburg-Vorpommern,Fritz-Kola,0.74,7250,5365.0
Metro,1128299,2022-06-20,June,West,Mecklenburg-Vorpommern,Bionade,0.55,9750,5362.5
Penny,1128299,2022-06-20,June,West,Baden-Württemberg,Vita Cola,0.6,8250,4950.0
Edeka,1128299,2022-06-20,June,West,Mecklenburg-Vorpommern,Mezzo Mix,0.6,8250,4950.0
Edeka,1128299,2022-06-20,June,West,Mecklenburg-Vorpommern,Gerolsteiner,0.55,7000,3850.0000000000005
Edeka,1128299,2022-06-20,June,West,Saxony-Anhalt,Mezzo Mix,0.6,5750,3450.0
Netto,1128299,2022-06-20,June,West,Baden-Württemberg,Vita Cola,0.74,8750,6475.0
Aldi,1128299,2022-07-19,July,West,Baden-Württemberg,Club-Mate,0.55,10250,5637.500000000001
Lidl,1128299,2022-07-19,July,West,Brandenburg,Gerolsteiner,0.6,8750,5250.0
Penny,1128299,2022-07-19,July,West,Brandenburg,Mezzo Mix,0.6,8250,4950.0
Edeka,1128299,2022-07-19,July,West,Hesse,Gerolsteiner,0.55,7250,3987.5000000000005
Aldi,1128299,2022-07-19,July,West,Saxony,Bionade,0.6,7750,4650.0
Aldi,1128299,2022-07-19,July,West,Brandenburg,Fritz-Kola,0.74,7750,5735.0
Penny,1128299,2022-08-20,August,West,Hamburg,Mezzo Mix,0.6,9750,5850.0
Edeka,1128299,2022-08-20,August,West,Hesse,Vita Cola,0.64,9250,5920.0
Kaufland,1128299,2022-08-20,August,West,Berlin,Club-Mate,0.6,8000,4800.0
Netto,1128299,2022-08-20,August,West,Thuringia,Club-Mate,0.6,7500,4500.0
Metro,1128299,2022-08-20,August,West,Saxony,Mezzo Mix,0.69,7500,5175.0
Penny,1128299,2022-08-20,August,West,Hesse,Mezzo Mix,0.74,7250,5365.0
Penny,1128299,2022-09-21,September,West,Schleswig-Holstein,Bionade,0.51,9250,4717.5
Netto,1128299,2022-09-21,September,West,Schleswig-Holstein,Bionade,0.55,9250,5087.5
Metro,1128299,2022-09-21,September,West,Baden-Württemberg,Gerolsteiner,0.51,7750,3952.5
Penny,1128299,2022-09-21,September,West,Baden-Württemberg,Vita Cola,0.51,7250,3697.5
Netto,1128299,2022-09-21,September,West,Thuringia,Bionade,0.6,7250,4350.0
Netto,1128299,2022-09-21,September,West,Thuringia,Gerolsteiner,0.64,7750,4960.0
Lidl,1128299,2022-10-20,October,West,Hesse,Vita Cola,0.51,8750,4462.5
Rewe,1128299,2022-10-20,October,West,North Rhine-Westphalia,Club-Mate,0.55,8750,4812.5
Kaufland,1128299,2022-10-20,October,West,Saxony-Anhalt,Mezzo Mix,0.51,7000,3570.0
Metro,1128299,2022-10-20,October,West,Baden-Württemberg,Club-Mate,0.51,6750,3442.5
Edeka,1128299,2022-10-20,October,West,Saxony-Anhalt,Fritz-Kola,0.6,6500,3900.0
Lidl,1128299,2022-10-20,October,West,Mecklenburg-Vorpommern,Vita Cola,0.64,7000,4480.0
Penny,1128299,2022-11-20,November,West,Thuringia,Bionade,0.51,8750,4462.5
Metro,1128299,2022-11-20,November,West,Saxony-Anhalt,Bionade,0.55,8750,4812.5
Kaufland,1128299,2022-11-20,November,West,Hesse,Mezzo Mix,0.51,7250,3697.5
Edeka,1128299,2022-11-20,November,West,Thuringia,Club-Mate,0.51,7000,3570.0
Netto,1128299,2022-11-20,November,West,Bavaria,Vita Cola,0.6,6500,3900.0
Metro,1128299,2022-11-20,November,West,Thuringia,Club-Mate,0.64,7750,4960.0
Rewe,1128299,2022-12-19,December,West,Mecklenburg-Vorpommern,Club-Mate,0.51,9750,4972.5
Netto,1128299,2022-12-19,December,West,Saxony-Anhalt,Mezzo Mix,0.55,9750,5362.5
Aldi,1128299,2022-12-19,December,West,Schleswig-Holstein,Gerolsteiner,0.51,7750,3952.5
Lidl,1128299,2022-12-19,December,West,Baden-Württemberg,Fritz-Kola,0.51,7750,3952.5
Rewe,1128299,2022-12-19,December,West,Hamburg,Vita Cola,0.6,7000,4200.0
Kaufland,1128299,2022-12-19,December,West,North Rhine-Westphalia,Fritz-Kola,0.64,8000,5120.0
Aldi,1189833,2022-01-15,January,West,Brandenburg,Club-Mate,0.32,7000,2240.0
Metro,1189833,2022-01-15,January,West,Bavaria,Fritz-Kola,0.41,7000,2870.0
Penny,1189833,2022-01-15,January,West,Bavaria,Vita Cola,0.41,7000,2870.0
Netto,1189833,2022-01-15,January,West,Thuringia,Mezzo Mix,0.41,5500,2255.0
Kaufland,1189833,2022-01-15,January,West,Saxony-Anhalt,Bionade,0.46,5000,2300.0
Aldi,1189833,2022-01-15,January,West,North Rhine-Westphalia,Mezzo Mix,0.41,7000,2870.0
Rewe,1189833,2022-02-15,February,West,Hamburg,Bionade,0.32,7500,2400.0
Netto,1189833,2022-02-15,February,West,North Rhine-Westphalia,Gerolsteiner,0.41,6500,2665.0
Rewe,1189833,2022-02-15,February,West,Berlin,Mezzo Mix,0.41,6750,2767.5
Penny,1189833,2022-02-15,February,West,Bavaria,Bionade,0.41,5250,2152.5
Edeka,1189833,2022-02-15,February,West,North Rhine-Westphalia,Mezzo Mix,0.46,4500,2070.0
Penny,1189833,2022-02-15,February,West,Baden-Württemberg,Fritz-Kola,0.41,6500,2665.0
Penny,1189833,2022-03-14,March,West,Hesse,Fritz-Kola,0.32,8000,2560.0
Rewe,1189833,2022-03-14,March,West,Mecklenburg-Vorpommern,Mezzo Mix,0.41,6500,2665.0
Rewe,1189833,2022-03-14,March,West,Baden-Württemberg,Club-Mate,0.41,6500,2665.0
Lidl,1189833,2022-03-14,March,West,Saxony-Anhalt,Bionade,0.41,5500,2255.0
Metro,1189833,2022-03-14,March,West,Schleswig-Holstein,Gerolsteiner,0.46,4250,1955.0
Kaufland,1189833,2022-03-14,March,West,Hesse,Gerolsteiner,0.41,6250,2562.5
Aldi,1189833,2022-04-15,April,West,Hamburg,Vita Cola,0.41,8000,3280.0
Edeka,1189833,2022-04-15,April,West,North Rhine-Westphalia,Gerolsteiner,0.46,6000,2760.0
Lidl,1189833,2022-04-15,April,West,Thuringia,Bionade,0.46,6250,2875.0
Kaufland,1189833,2022-04-15,April,West,Baden-Württemberg,Vita Cola,0.41,5250,2152.5
Aldi,1189833,2022-04-15,April,West,Saxony-Anhalt,Mezzo Mix,0.46,4250,1955.0
Metro,1189833,2022-04-15,April,West,Saxony-Anhalt,Bionade,0.6,6000,3600.0
Penny,1189833,2022-05-16,May,West,North Rhine-Westphalia,Club-Mate,0.41,8000,3280.0
Penny,1189833,2022-05-16,May,West,Hesse,Vita Cola,0.46,6500,2990.0
Aldi,1189833,2022-05-16,May,West,Saxony-Anhalt,Vita Cola,0.46,6500,2990.0
Edeka,1189833,2022-05-16,May,West,Saxony,Bionade,0.41,5500,2255.0
Netto,1189833,2022-05-16,May,West,Thuringia,Club-Mate,0.46,4500,2070.0
Penny,1189833,2022-05-16,May,West,Hamburg,Mezzo Mix,0.6,6250,3750.0
Lidl,1189833,2022-06-15,June,West,Saxony-Anhalt,Gerolsteiner,0.41,9000,3690.0
Aldi,1189833,2022-06-15,June,West,Hesse,Fritz-Kola,0.46,7500,3450.0
Rewe,1189833,2022-06-15,June,West,Hesse,Fritz-Kola,0.46,7500,3450.0
Aldi,1189833,2022-06-15,June,West,Saxony-Anhalt,Vita Cola,0.41,6250,2562.5
Netto,1189833,2022-06-15,June,West,Saxony-Anhalt,Mezzo Mix,0.46,5000,2300.0
Metro,1189833,2022-06-15,June,West,Berlin,Vita Cola,0.6,8000,4800.0
Kaufland,1189833,2022-07-14,July,West,Brandenburg,Club-Mate,0.41,9500,3894.9999999999995
Penny,1189833,2022-07-14,July,West,Baden-Württemberg,Vita Cola,0.46,8000,3680.0
Netto,1189833,2022-07-14,July,West,Thuringia,Club-Mate,0.46,7500,3450.0
Edeka,1189833,2022-07-14,July,West,Saxony-Anhalt,Fritz-Kola,0.41,6500,2665.0
Metro,1189833,2022-07-14,July,West,Baden-Württemberg,Bionade,0.46,7000,3220.0
Kaufland,1189833,2022-07-14,July,West,Baden-Württemberg,Bionade,0.6,7000,4200.0
Netto,1189833,2022-08-15,August,West,Saxony,Gerolsteiner,0.46,9000,4140.0
Penny,1189833,2022-08-15,August,West,Berlin,Mezzo Mix,0.51,8500,4335.0
Rewe,1189833,2022-08-15,August,West,Mecklenburg-Vorpommern,Bionade,0.46,7250,3335.0
Penny,1189833,2022-08-15,August,West,Mecklenburg-Vorpommern,Mezzo Mix,0.46,6750,3105.0
Edeka,1189833,2022-08-15,August,West,Bavaria,Bionade,0.55,6750,3712.5000000000005
Netto,1189833,2022-08-15,August,West,Bavaria,Club-Mate,0.6,6500,3900.0
Penny,1189833,2022-09-16,September,West,Baden-Württemberg,Vita Cola,0.46,8500,3910.0
Netto,1189833,2022-09-16,September,West,Berlin,Club-Mate,0.51,8500,4335.0
Penny,1189833,2022-09-16,September,West,Bavaria,Mezzo Mix,0.46,7000,3220.0
Penny,1189833,2022-09-16,September,West,Saxony-Anhalt,Bionade,0.46,6500,2990.0
Aldi,1189833,2022-09-16,September,West,Mecklenburg-Vorpommern,Gerolsteiner,0.55,6500,3575.0000000000005
Lidl,1189833,2022-09-16,September,West,Saxony,Club-Mate,0.6,7000,4200.0
Metro,1189833,2022-10-15,October,West,Bavaria,Vita Cola,0.46,8000,3680.0
Metro,1189833,2022-10-15,October,West,Saxony-Anhalt,Club-Mate,0.51,8000,4080.0
Aldi,1189833,2022-10-15,October,West,Baden-Württemberg,Bionade,0.46,6500,2990.0
Netto,1189833,2022-10-15,October,West,Brandenburg,Fritz-Kola,0.46,6250,2875.0
Aldi,1189833,2022-10-15,October,West,Brandenburg,Fritz-Kola,0.55,6000,3300.0000000000005
Lidl,1189833,2022-10-15,October,West,Hesse,Gerolsteiner,0.6,6500,3900.0
Metro,1189833,2022-11-15,November,West,Hesse,Mezzo Mix,0.46,8250,3795.0
Edeka,1189833,2022-11-15,November,West,Saxony-Anhalt,Fritz-Kola,0.51,8250,4207.5
Metro,1189833,2022-11-15,November,West,Mecklenburg-Vorpommern,Bionade,0.46,6750,3105.0
Metro,1189833,2022-11-15,November,West,Berlin,Gerolsteiner,0.46,6500,2990.0
Lidl,1189833,2022-11-15,November,West,North Rhine-Westphalia,Bionade,0.55,6000,3300.0000000000005
Rewe,1189833,2022-11-15,November,West,Saxony,Mezzo Mix,0.6,7000,4200.0
